"R","R_error","Freq","FWHM"
2.0,0.01,1825.58,886.56
2.5,0.01,2500.97,778.55
3.0,0.01,3107.12,587.78
3.5,0.01,3577.66,527.03
4.0,0.01,4036.67,656.60
4.5,0.01,4452.45,622.11
5.0,0.01,4783.48,508.89
5.5,0.01,5165.59,515.32
6.0,0.01,5408.75,432.81
6.5,0.01,5673.10,516.24
7.0,0.01,5943.04,517.10
7.5,0.01,6134.82,495.65
8.0,0.01,6282.41,465.18
8.5,0.01,6516.50,473.40
9.0,0.01,6532.56,502.23
9.5,0.01,6698.68,453.85
10.0,0.01,6722.93,365.88
10.5,0.01,6819.37,414.25
11.0,0.01,6836.15,467.69
11.5,0.01,6918.26,510.36
12.0,0.01,6939.68,514.77
12.5,0.01,6869.66,462.88
13.0,0.01,6927.58,553.19
13.5,0.01,6691.39,780.27
14.0,0.01,6594.57,513.36
14.5,0.01,6347.62,791.24
15.0,0.01,6018.87,606.13
15.5,0.01,5638.38,480.32
16.0,0.01,5098.26,761.39
16.5,0.01,4620.58,217.43
17.0,0.01,4095.76,893.06
17.5,0.01,3424.15,784.50
18.0,0.01,2741.67,1168.02

